 Distance Design        Paper flaps   Weight Rep
    10.00 Glider Construction  None   Weight   2
    20.33   Dart Construction  None   Weight   2
    15.83 Glider       Copier Flaps NoWeight   1
    11.83 Glider       Copier  None NoWeight   4
    18.00   Dart       Copier Flaps NoWeight   4
    12.00 Glider       Copier Flaps   Weight   3
    26.42   Dart       Copier  None   Weight   1
    16.08   Dart Construction  None   Weight   4
    11.00 Glider       Copier Flaps   Weight   4
    22.17   Dart       Copier  None   Weight   3
    10.42 Glider       Copier  None NoWeight   2
    10.83 Glider Construction  None NoWeight   3
    24.83   Dart       Copier  None NoWeight   3
     7.50 Glider       Copier  None   Weight   4
    22.25   Dart       Copier  None   Weight   4
    18.08   Dart Construction  None   Weight   3
     9.08 Glider       Copier  None   Weight   1
    20.25   Dart       Copier Flaps   Weight   4
    19.75   Dart Construction  None NoWeight   2
     8.42 Glider       Copier  None   Weight   2
    24.67   Dart Construction Flaps   Weight   1
    17.58 Glider Construction Flaps NoWeight   1
    19.17   Dart       Copier Flaps NoWeight   2
    20.92   Dart Construction Flaps NoWeight   1
     8.00 Glider Construction  None   Weight   4
    24.08   Dart Construction  None NoWeight   1
    26.33   Dart Construction Flaps   Weight   4
    20.75   Dart       Copier Flaps   Weight   3
    21.17   Dart Construction  None NoWeight   3
    12.42 Glider Construction Flaps NoWeight   2
    11.00 Glider       Copier Flaps   Weight   1
    10.58 Glider Construction  None NoWeight   2
    14.08 Glider       Copier Flaps NoWeight   4
    16.58 Glider       Copier Flaps NoWeight   2
    12.00 Glider       Copier Flaps   Weight   2
    18.33   Dart       Copier Flaps NoWeight   1
    15.67   Dart Construction Flaps NoWeight   2
    13.08 Glider Construction Flaps NoWeight   3
    10.42 Glider       Copier Flaps NoWeight   3
    17.75   Dart Construction Flaps NoWeight   3
    21.25   Dart       Copier Flaps   Weight   2
    22.25   Dart       Copier  None   Weight   2
    13.75 Glider Construction Flaps   Weight   3
    11.42 Glider Construction  None NoWeight   4
    23.25   Dart Construction  None NoWeight   4
    21.50   Dart Construction Flaps NoWeight   4
    11.17 Glider Construction Flaps   Weight   2
    18.17   Dart       Copier Flaps   Weight   1
    11.75 Glider       Copier  None NoWeight   3
    21.75   Dart       Copier  None NoWeight   1
