"name","extn","hour","min","sec","size","date"
"lec7","webm",0,26,30.43,172876572,"Sep 17"
"mac2","webm",0,1,14.96,1448583,"Dec 01"
"mul","webm",0,7,54.08,162463578,"Apr 14"
"lec14","webm",0,29,28.03,1156758131,"Sep 29"
"lec18","webm",0,19,15.53,257676218,"Oct 03"
"lec102","webm",0,26,28.3,762819105,"Oct 30"
"lec8","webm",0,16,18,209851386,"Sep 19"
"lec103","webm",0,16,18.7,552618038,"Oct 31"
"lec13","webm",0,22,49,248041398,"Sep 28"
"lec26","webm",0,14,10.1,187004635,"Nov 13"
"riem","webm",0,46,28.36,949402586,"Apr 24"
"lec5","webm",0,27,43.1,181745896,"Sep 15"
"lec29","webm",0,15,20.37,124653379,"Nov 10"
"diff3","webm",0,26,41.43,153245337,"Apr 12"
"int1","webm",0,14,30.17,104917443,"Apr 17"
"lec3","webm",0,26,56.5,187687767,"Sep 12"
"lec27","webm",0,11,45.77,58756905,"Nov 23"
"lec15","webm",0,12,39.33,85012289,"Sep 30"
"lec12","webm",0,32,32.8,424883261,"Sep 25"
"lec9","webm",0,19,44.43,524780083,"Sep 20"
"intro","webm",0,0,20,3367178,"Mar 02"
"lec32","webm",0,21,6.03,169358600,"Nov 16"
"lec25","webm",0,8,35.2,75035467,"Nov 12"
"soap","webm",0,21,24.23,82335874,"Mar 28"
"prob3","webm",0,26,11.3,207133764,"Jun 01"
"prob2","webm",0,42,27.1,294615982,"May 03"
"lec36","webm",0,16,5.13,113469941,"Nov 25"
"lec33","webm",0,13,46.8,113801984,"Nov 19"
"diff2","webm",0,15,45.67,112132996,"Apr 11"
"lec19","webm",0,21,57.5,321287533,"Oct 11"
"spl","webm",0,22,57.6,199648251,"Apr 25"
"cart","webm",0,28,46.2,122574855,"Mar 15"
"lec34","webm",0,14,20.03,166039825,"Nov 21"
"lec16","webm",0,26,31.8,504191110,"Oct 01"
"riem2","webm",0,31,55.32,812636500,"May 02"
"prob","webm",0,19,29.37,166325108,"Apr 28"
"lec39","webm",0,16,38.17,148024207,"Dec 22"
"jacobi","webm",0,23,7.32,189999355,"Apr 12"
"lec24","webm",0,25,48.27,716624405,"Oct 26"
"lec35","webm",0,10,50.73,65336556,"Nov 25"
"iter","webm",1,4,14.2,1034583359,"Apr 13"
"lec28","webm",0,15,15.57,171609228,"Nov 24"
"lec6","webm",0,10,5.07,77458931,"Sep 17"
"untitled","webm",0,0,11.36,2216249,"Feb 14"
"lec2","webm",0,15,23.4,92287228,"Sep 02"
"lec42","webm",0,19,38.57,138399261,"Dec 10"
