"name","extn","hour","min","sec","size","date"
"prob3","webm",0,26,11.3,207133764,"Jun 01"
"lec20","webm",0,17,1.47,454522967,"Oct 15"
"lec19","webm",0,21,57.5,321287533,"Oct 11"
"lec31","webm",0,17,17.33,398221823,"Nov 14"
"lec3","webm",0,26,56.5,187687767,"Sep 12"
"diff3","webm",0,26,41.43,153245337,"Apr 12"
"lec14","webm",0,29,28.03,1156758131,"Sep 29"
"lec21","webm",0,22,21.2,676834427,"Oct 18"
"lec2","webm",0,15,23.4,92287228,"Sep 02"
"lec8","webm",0,16,18,209851386,"Sep 19"
"lec100","webm",0,7,2.27,79111705,"Oct 22"
"lec34","webm",0,14,20.03,166039825,"Nov 21"
"soap","webm",0,21,24.23,82335874,"Mar 28"
"iter","webm",1,4,14.2,1034583359,"Apr 13"
"mul","webm",0,7,54.08,162463578,"Apr 14"
"lec17","webm",0,32,26.8,307410607,"Oct 02"
"lec38","webm",0,16,7.5,126593077,"Nov 28"
"i","webm",0,1,39.6,27104899,"Sep 27"
"lec36","webm",0,16,5.13,113469941,"Nov 25"
"lec11","webm",0,24,2.1,360256356,"Sep 23"
"lec26","webm",0,14,10.1,187004635,"Nov 13"
"lec102","webm",0,26,28.3,762819105,"Oct 30"
"first","webm",0,0,18.6,14601497,"May 30"
"lec39","webm",0,16,38.17,148024207,"Dec 22"
"int2","webm",0,9,30.37,65595202,"Apr 17"
"lec40","webm",0,16,39,151895082,"Dec 08"
"diff2","webm",0,15,45.67,112132996,"Apr 11"
"lec13","webm",0,22,49,248041398,"Sep 28"
"prob2","webm",0,42,27.1,294615982,"May 03"
"lec16","webm",0,26,31.8,504191110,"Oct 01"
"lec35","webm",0,10,50.73,65336556,"Nov 25"
"lec101","webm",0,13,15.73,383411189,"Oct 29"
"proof","webm",0,28,21.77,198251315,"Apr 02"
"lec103","webm",0,16,18.7,552618038,"Oct 31"
"bad","webm",0,0,29.29,1741905,"May 15"
"diff1","webm",0,11,2.77,113855633,"Apr 10"
"gq","webm",0,31,12.7,263589368,"Apr 19"
"lec25","webm",0,8,35.2,75035467,"Nov 12"
"lec24","webm",0,25,48.27,716624405,"Oct 26"
"indranilda","webm",0,21,30.56,231595020,"Sep 27"
"lec28","webm",0,15,15.57,171609228,"Nov 24"
