"name","extn","hour","min","sec","size","date"
"lec18","webm",0,19,15.53,257676218,"Oct 03"
"lec40","webm",0,16,39,151895082,"Dec 08"
"first","webm",0,0,18.6,14601497,"May 30"
"gq2","webm",0,37,13.97,290907225,"Apr 22"
"lec100","webm",0,7,2.27,79111705,"Oct 22"
"mul","webm",0,7,54.08,162463578,"Apr 14"
"lec1","webm",0,21,20,273866624,"Sep 02"
"err2","webm",0,27,58.27,270948504,"May 13"
"lec4","webm",0,17,28.7,202153529,"Sep 11"
"lec23","webm",0,36,31.9,882886097,"Oct 24"
"lec9","webm",0,19,44.43,524780083,"Sep 20"
"lec6","webm",0,10,5.07,77458931,"Sep 17"
"untitled","webm",0,0,11.36,2216249,"Feb 14"
"prob2","webm",0,42,27.1,294615982,"May 03"
"cart","webm",0,28,46.2,122574855,"Mar 15"
"lec34","webm",0,14,20.03,166039825,"Nov 21"
"lec37","webm",0,13,1.77,119276199,"Nov 26"
"lec24","webm",0,25,48.27,716624405,"Oct 26"
"lec2","webm",0,15,23.4,92287228,"Sep 02"
"lec28","webm",0,15,15.57,171609228,"Nov 24"
"lec8","webm",0,16,18,209851386,"Sep 19"
"jacobi","webm",0,23,7.32,189999355,"Apr 12"
"mac2","webm",0,1,14.96,1448583,"Dec 01"
"soap","webm",0,21,24.23,82335874,"Mar 28"
"lec39","webm",0,16,38.17,148024207,"Dec 22"
"lec38","webm",0,16,7.5,126593077,"Nov 28"
"lec14","webm",0,29,28.03,1156758131,"Sep 29"
"lec35","webm",0,10,50.73,65336556,"Nov 25"
"lec20","webm",0,17,1.47,454522967,"Oct 15"
"lec36","webm",0,16,5.13,113469941,"Nov 25"
"diff3","webm",0,26,41.43,153245337,"Apr 12"
"proof","webm",0,28,21.77,198251315,"Apr 02"
"lec13","webm",0,22,49,248041398,"Sep 28"
"lec33","webm",0,13,46.8,113801984,"Nov 19"
"lec42","webm",0,19,38.57,138399261,"Dec 10"
"lec103","webm",0,16,18.7,552618038,"Oct 31"
"intro","webm",0,0,20,3367178,"Mar 02"
"gq","webm",0,31,12.7,263589368,"Apr 19"
"lec11","webm",0,24,2.1,360256356,"Sep 23"
"lec16","webm",0,26,31.8,504191110,"Oct 01"
"spl","webm",0,22,57.6,199648251,"Apr 25"
"diff2","webm",0,15,45.67,112132996,"Apr 11"
"pca","webm",0,23,43.9,95145475,"Feb 28"
"lec15","webm",0,12,39.33,85012289,"Sep 30"
"prob3","webm",0,26,11.3,207133764,"Jun 01"
"int1","webm",0,14,30.17,104917443,"Apr 17"
"lec26","webm",0,14,10.1,187004635,"Nov 13"
"lec12","webm",0,32,32.8,424883261,"Sep 25"
"lu","webm",0,28,11.2,205637598,"Apr 02"
"lec19","webm",0,21,57.5,321287533,"Oct 11"
